日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2009/01/05,33.01,-,1.3881,92.005,1.4471,0.71305,7.7515,-,-,-
2009/01/06,33.044,-,1.35095,93.125,1.4577,0.71165,7.75405,-,-,-
2009/01/07,32.94,-,1.3513,93.855,1.4913,0.72155,7.75355,-,-,-
2009/01/08,33.083,-,1.36225,92.565,1.50675,0.70785,7.7545,-,-,-
2009/01/09,33.12,-,1.36805,91.1,1.52085,0.70825,7.75825,-,-,-
2009/01/10,33.16,-,1.34595,90.36,1.5162,0.70425,7.75755,-,-,-
2009/01/12,33.241,-,1.339,90.185,1.5085,0.69185,7.75755,-,-,-
2009/01/13,33.238,-,1.3317,89.32,1.47685,0.67705,7.75525,-,-,-
2009/01/14,33.245,-,1.3275,89.685,1.4579,0.67695,7.7574,-,-,-
2009/01/15,33.325,-,1.3175,88.89,1.4603,0.65865,7.7591,-,-,-
2009/01/16,33.324,-,1.3271,90.34,1.48775,0.67445,7.75885,-,-,-
2009/01/17,33.355,-,1.3267,90.73,1.47555,0.67265,7.7594,-,-,-
2009/01/19,33.487,-,1.3339,90.85,1.4844,0.6811,7.75925,-,-,-
2009/01/20,33.661,-,1.29975,90.16,1.41925,0.65925,7.7577,-,-,-
2009/01/21,33.599,-,1.297,89.875,1.39525,0.6526,7.75885,-,-,-
2009/02/02,33.795,-,1.2736,89.66,1.44135,0.63265,7.7553,-,-,-
2009/02/03,33.65,-,1.2866,89.495,1.4227,0.63775,7.7534,-,-,-
2009/02/04,33.677,-,1.302,89.6,1.4407,0.649,7.75425,-,-,-
2009/02/05,33.661,-,1.28405,89.35,1.4454,0.6434,7.75435,-,-,-
2009/02/06,33.656,-,1.2794,90.975,1.46405,0.6531,7.7544,-,-,-
2009/02/09,33.636,-,1.29385,91.28,1.4759,0.6679,7.75345,-,-,-
2009/02/10,33.88,-,1.28225,91.35,1.4816,0.66735,7.75255,-,-,-
2009/02/11,34.01,-,1.29155,90.32,1.44915,0.65625,7.75195,-,-,-
2009/02/12,34.022,-,1.29015,89.985,1.43625,0.6537,7.75155,-,-,-
2009/02/13,34.008,-,1.29225,90.965,1.43765,0.6568,7.7533,-,-,-
2009/02/16,34.103,-,1.27635,91.76,1.42375,0.65125,7.75305,-,-,-
2009/02/17,34.389,-,1.2643,92.445,1.42055,0.64225,7.75415,-,-,-
2009/02/18,34.641,-,1.25855,92.435,1.423,0.6393,7.75545,-,-,-
2009/02/19,34.68,-,1.25775,93.39,1.4244,0.6424,7.75485,-,-,-
2009/02/20,34.8,-,1.2584,94.035,1.4217,0.6384,7.7539,-,-,-
2009/02/23,34.67,-,1.28795,93.065,1.44875,0.6486,7.75275,-,-,-
2009/02/24,34.697,-,1.274,95.065,1.457,0.6467,7.75315,-,-,-
2009/02/25,34.734,-,1.28235,97.205,1.4525,0.65065,7.75335,-,-,-
2009/02/26,34.823,-,1.27175,97.815,1.42375,0.64875,7.75415,-,-,-
2009/02/27,34.94,-,1.27435,97.675,1.4302,0.64565,7.7543,-,-,-
2009/03/02,35.184,-,1.25715,97.385,1.42185,0.63325,7.7574,-,-,-
2009/03/03,35.059,-,1.2628,97.455,1.40965,0.64025,7.7579,-,-,-
2009/03/04,35.009,-,1.24965,98.455,1.40285,0.6333,7.75825,-,-,-
2009/03/05,34.88,-,1.2604,99.2,1.4152,0.64235,7.7592,-,-,-
2009/03/06,34.887,-,1.2578,98.19,1.41745,0.6417,7.7559,-,-,-
2009/03/09,34.815,-,1.2666,98.27,1.41235,0.64085,7.7557,-,-,-
2009/03/10,34.65,-,1.26665,98.91,1.37985,0.63875,7.7559,-,-,-
2009/03/11,34.44,-,1.26685,98.45,1.37125,0.643,7.7567,-,-,-
2009/03/12,34.467,-,1.28495,96.335,1.3894,0.6487,7.7552,-,-,-
2009/03/13,34.48,-,1.29005,97.725,1.38865,0.65225,7.7535,-,-,-
2009/03/16,34.457,-,1.2899,98.225,1.40295,0.65635,7.753,-,-,-
2009/03/17,34.304,-,1.30305,98.455,1.4134,0.66175,7.7524,-,-,-
2009/03/18,34.168,-,1.30365,98.45,1.4041,0.66165,7.7523,-,-,-
2009/03/19,33.833,-,1.3452,95.4,1.42015,0.67435,7.75185,-,-,-
2009/03/20,33.795,-,1.3657,94.62,1.4464,0.68785,7.7513,-,-,-
2009/03/23,33.8,-,1.3666,96.215,1.4518,0.6968,7.75005,-,-,-
2009/03/24,33.762,-,1.36495,98.22,1.46865,0.70655,7.7503,-,-,-
2009/03/25,33.93,-,1.3459,97.58,1.4661,0.69585,7.7501,-,-,-
2009/03/26,33.849,-,1.357,97.775,1.4591,0.69925,7.7501,-,-,-
2009/03/27,33.758,-,1.3574,98.4,1.4488,0.6984,7.74995,-,-,-
2009/03/30,33.9,-,1.32145,96.895,1.4191,0.6817,7.75,-,-,-
2009/03/31,33.972,-,1.3235,98.125,1.429,0.68665,7.7501,-,-,-
2009/04/01,33.8,-,1.3195,98.72,1.4282,0.68795,7.75085,-,-,-
2009/04/02,33.59,-,1.327,98.765,1.44925,0.70335,7.7508,-,-,-
2009/04/03,33.38,-,1.3417,99.66,1.46915,0.7132,7.7503,-,-,-
2009/04/06,33.119,-,1.3565,100.82,1.49365,0.71815,7.7501,-,-,-
2009/04/07,33.5,-,1.3349,100.465,1.4667,0.7114,7.7505,-,-,-
2009/04/08,33.88,-,1.3173,100,1.4683,0.7067,7.75075,-,-,-
2009/04/09,33.78,-,1.3257,99.955,1.4728,0.71095,7.75075,-,-,-
2009/04/10,33.809,-,1.3147,100.34,1.4668,0.7202,7.75025,-,-,-
2009/04/13,33.723,-,1.3173,100.36,1.4665,0.72235,7.7503,-,-,-
2009/04/14,33.61,-,1.3346,99.775,1.48815,0.72855,7.75055,-,-,-
2009/04/15,33.759,-,1.32525,98.535,1.4884,0.71795,7.7504,-,-,-
2009/04/16,33.779,-,1.31905,98.885,1.49765,0.72435,7.7505,-,-,-
2009/04/17,33.807,-,1.30945,99.425,1.48675,0.7194,7.7503,-,-,-
2009/04/20,33.798,-,1.3013,98.935,1.4738,0.7191,7.75015,-,-,-
2009/04/21,33.893,-,1.29455,98.345,1.45535,0.7024,7.7503,-,-,-
2009/04/22,33.845,-,1.29385,98.325,1.464,0.7049,7.7503,-,-,-
2009/04/23,33.856,-,1.3028,98.005,1.4552,0.7086,7.7501,-,-,-
2009/04/24,33.69,-,1.3173,97.05,1.46815,0.7135,7.75015,-,-,-
2009/04/27,33.735,-,1.31795,96.75,1.462,0.7135,7.7502,-,-,-
2009/04/28,33.77,-,1.30115,96.085,1.45795,0.70245,7.75015,-,-,-
2009/04/29,33.68,-,1.3201,96.82,1.4712,0.71345,7.7504,-,-,-
2009/04/30,33.188,-,1.3292,97.285,1.48105,0.72525,7.7503,-,-,-
2009/05/04,33.35,-,1.33165,99.465,1.4943,0.73535,7.7503,-,-,-
2009/05/05,33.085,-,1.33705,98.77,1.50045,0.74065,7.7501,-,-,-
2009/05/06,33.135,-,1.3261,98.235,1.5021,0.73555,7.7504,-,-,-
2009/05/07,33.145,-,1.3291,98.57,1.5124,0.75215,7.75045,-,-,-
2009/05/08,33.09,-,1.3396,99.18,1.5022,0.75445,7.75025,-,-,-
2009/05/11,32.851,-,1.36315,98.435,1.52055,0.76675,7.74995,-,-,-
2009/05/12,32.935,-,1.36085,97.29,1.5121,0.75975,7.7501,-,-,-
2009/05/13,32.85,-,1.3683,96.575,1.53125,0.7684,7.7502,-,-,-
2009/05/14,32.96,-,1.3575,95.515,1.5138,0.7535,7.75005,-,-,-
2009/05/15,32.873,-,1.36375,95.92,1.52325,0.7601,7.7513,-,-,-
2009/05/18,33.03,-,1.34595,95.01,1.5167,0.75035,7.7536,-,-,-
2009/05/19,32.891,-,1.35695,96.425,1.5342,0.76655,7.75195,-,-,-
2009/05/20,32.87,-,1.36005,95.635,1.54765,0.77025,7.75225,-,-,-
2009/05/21,32.743,-,1.37925,94.525,1.57875,0.7763,7.7532,-,-,-
2009/05/22,32.65,-,1.3915,94.15,1.58575,0.77755,7.7522,-,-,-
2009/05/25,32.64,-,1.40135,95.145,1.58965,0.7815,7.752,-,-,-
2009/05/26,32.663,-,1.398,94.685,1.58945,0.7787,7.75125,-,-,-
2009/05/27,32.55,-,1.39495,95.43,1.59565,0.7846,7.7528,-,-,-
2009/06/01,32.363,-,1.4133,95.23,1.6228,0.8051,7.7516,-,-,-
2009/06/02,32.349,-,1.4158,96.38,1.64375,0.81005,7.7524,-,-,-
2009/06/03,32.493,-,1.4307,95.685,1.6612,0.8247,7.7524,-,-,-
2009/06/04,32.69,-,1.4166,96.15,1.62355,0.80075,7.7523,-,-,-
2009/06/05,32.566,-,1.41905,96.76,1.60945,0.80395,7.75145,-,-,-
2009/06/06,32.672,-,1.3975,98.66,1.59795,0.79325,7.7522,-,-,-
2009/06/08,32.835,-,1.39685,98.455,1.59235,0.7967,7.75215,-,-,-
2009/06/09,32.935,-,1.38855,98.115,1.604,0.78835,7.7521,-,-,-
2009/06/10,32.708,-,1.40815,97.635,1.63285,0.80615,7.7517,-,-,-
2009/06/11,32.746,-,1.4051,97.82,1.6423,0.81115,7.75195,-,-,-
2009/06/12,32.757,-,1.40855,97.905,1.65615,0.81515,7.75125,-,-,-
2009/06/15,32.899,-,1.3933,98.44,1.63655,0.8062,7.7504,-,-,-
2009/06/16,32.935,-,1.3845,96.395,1.6318,0.79345,7.75075,-,-,-
2009/06/17,32.897,-,1.3891,96.58,1.6443,0.7954,7.7502,-,-,-
2009/06/18,32.924,-,1.39325,95.755,1.636,0.7923,7.75055,-,-,-
2009/06/19,32.872,-,1.39425,96.625,1.63735,0.8046,7.7504,-,-,-
2009/06/22,32.901,-,1.39075,96.07,1.6497,0.8015,7.75035,-,-,-
2009/06/23,32.95,-,1.3857,95.205,1.63165,0.78305,7.751,-,-,-
2009/06/24,32.86,-,1.40975,95.64,1.64735,0.79635,7.75015,-,-,-
2009/06/25,32.866,-,1.3967,96.285,1.64575,0.80075,7.75015,-,-,-
2009/06/26,32.943,-,1.4037,95.84,1.63845,0.80525,7.75015,-,-,-
2009/06/29,32.927,-,1.4022,95.37,1.6478,0.80055,7.7501,-,-,-
2009/06/30,32.858,-,1.41135,95.745,1.6626,0.80985,7.75015,-,-,-
2009/07/01,32.76,-,1.4021,96.78,1.63915,0.80275,7.7503,-,-,-
2009/07/02,32.82,-,1.4122,96.575,1.6468,0.80445,7.75025,-,-,-
2009/07/03,32.92,-,1.39875,95.985,1.638,0.7967,7.75035,-,-,-
2009/07/06,32.927,-,1.39935,95.52,1.63155,0.79585,7.75035,-,-,-
2009/07/07,32.977,-,1.39745,95.34,1.62685,0.79765,7.75025,-,-,-
2009/07/08,33.056,-,1.3911,94.29,1.60905,0.78675,7.75045,-,-,-
2009/07/09,33.004,-,1.39015,93.145,1.60965,0.7794,7.75045,-,-,-
2009/07/10,32.985,-,1.3979,92.99,1.6303,0.78165,7.75035,-,-,-
2009/07/13,33.143,-,1.39215,92.415,1.6118,0.776,7.75055,-,-,-
2009/07/14,33.085,-,1.3979,93.265,1.6241,0.7848,7.75045,-,-,-
2009/07/15,32.984,-,1.3981,93.54,1.63185,0.79365,7.75035,-,-,-
2009/07/16,32.932,-,1.408,93.905,1.64005,0.79895,7.75035,-,-,-
2009/07/17,32.944,-,1.41185,93.66,1.63835,0.80005,7.75025,-,-,-
2009/07/20,32.832,-,1.4167,94.64,1.63945,0.80655,7.75025,-,-,-
2009/07/21,32.787,-,1.4204,93.955,1.6505,0.81245,7.75025,-,-,-
2009/07/22,32.8,-,1.42095,93.71,1.6413,0.8166,7.75015,-,-,-
2009/07/23,32.817,-,1.42425,94.215,1.6482,0.81835,7.75015,-,-,-
2009/07/24,32.813,-,1.41725,94.86,1.65095,0.8157,7.74995,-,-,-
2009/07/27,32.83,-,1.42325,94.82,1.64575,0.82055,7.75015,-,-,-
2009/07/28,32.752,-,1.42695,95.085,1.65185,0.82945,7.75015,-,-,-
2009/07/29,32.849,-,1.41745,94.255,1.6432,0.82535,7.75025,-,-,-
2009/07/30,32.869,-,1.40635,95.06,1.64005,0.8187,7.75065,-,-,-
2009/07/31,32.763,-,1.4127,95.34,1.654,0.8294,7.7501,-,-,-
2009/08/03,32.769,-,1.42405,94.695,1.67155,0.83685,7.75005,-,-,-
2009/08/04,32.691,-,1.4383,95.05,1.6929,0.8416,7.75005,-,-,-
